"Gender","Salary"
"Male",6439.52435344779
"Male",6769.82251051672
"Male",8558.70831414912
"Male",7070.50839142458
"Male",7129.28773516095
"Male",8715.06498688328
"Male",7460.9162059892
"Male",5734.93876539347
"Male",6313.14714810647
"Male",6554.33802990004
"Male",8224.08179743946
"Male",7359.81382705736
"Male",7400.77145059405
"Male",7110.68271594512
"Male",6444.15886524592
"Male",8786.91313680308
"Male",7497.85047822924
"Male",5033.38284337036
"Male",7701.35590156369
"Male",6527.20859227207
"Male",5932.17629401315
"Male",6782.0250853417
"Male",5973.99555169276
"Male",6271.10877070886
"Male",6374.96073215074
"Male",5313.30668925759
"Male",7837.78704449452
"Male",7153.37311783652
"Male",5861.86306298805
"Male",8253.81492106993
"Male",7426.46422147681
"Male",6704.92851700773
"Male",7895.12566104502
"Male",7878.13348753304
"Male",7821.58108163749
"Male",7688.64025410009
"Male",7553.91765353759
"Male",6938.08828942328
"Male",6694.03733626008
"Male",6619.52899898762
"Male",6305.29302107949
"Male",6792.0827219804
"Male",5734.60364843174
"Male",9168.95596533851
"Male",8207.96199830499
"Male",5876.89141679665
"Male",6597.11516470092
"Male",6533.34464637678
"Male",7779.96511833632
"Male",6916.63093352817
"Female",6202.6548111958
"Female",5977.16259572104
"Female",5965.70363416695
"Female",7094.88182721157
"Female",5819.38321147259
"Female",7213.17648354363
"Female",4760.99775661582
"Female",6467.69099970886
"Female",6099.08339507569
"Female",6172.75325499518
"Female",6303.7115862079
"Female",5598.14123751256
"Female",5733.43409306446
"Female",5185.13969351433
"Female",5142.56701881954
"Female",6242.82291312341
"Female",6358.56782290354
"Female",6042.4033813844
"Female",6737.81397430379
"Female",7640.06774850171
"Female",5607.17506715477
"Female",4152.66489948735
"Female",6804.5908195698
"Female",5432.63938993409
"Female",5449.59310682611
"Female",6820.45709575736
"Female",5772.18159435919
"Female",5023.42583019637
"Female",6145.04278379932
"Female",5888.88691004876
"Female",6004.61134871991
"Female",6308.22432090106
"Female",5703.47197456607
"Female",6515.50123881507
"Female",5823.610750545
"Female",6265.42557113256
"Female",6877.47121051948
"Female",6348.14519266704
"Female",5739.25473157502
"Female",6919.04609476088
"Female",6794.8030847697
"Female",6438.71756760646
"Female",6190.98538808915
"Female",5497.6751391685
"Female",7088.52195882401
"Female",5519.7923302823
"Female",7749.86639441326
"Female",7226.08850094815
"Female",5811.43971271962
"Female",5178.86327975458
